artists,spotify_id,monthly_listeners
Gen Hoshino,1S2S00lgLYLGHWA44qGEUs,2800000
Ben Woodward,142VT1MtWzaD13CnOiKFDn,194100
Ingrid Michaelson,2vm8GdHyrJh2O2MfbQFYG0,1800000
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,25800000
Kina Grannis,7h4j9YTJJuAHzLCc3KCvYu,1700000
Chord Overstreet,5D3muNJhYYunbRkh3FKgX0,4500000
Tyrone Wells,5zeCSgiRyezbfLiGOpKAsR,511100
A Great Big World,5xKp3UyavIBUsGy3DQdXeF,3000000
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,33000000
Jason Mraz,4phGZZrJZRo4ElhRtViYdl,19900000
Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,8600000
Ross Copperman,5nHR37FDSU4I0QQta0AZ1C,287300
Zack Tabudlo,67IN4cLJ7798gUapyZlmac,4600000
Dan Berk,2kfmnXYxa9yh0RkUBPjSwZ,184100
Anna Hamilton,4M3M107IjDKjUYtXBWLvb4,23
Deepend,0uGApGjjFXKwUOAqYBeX7B,4500000
Landon Pigg,1whjlG0NSaQytgDIWz10GS,201600
Andrew Foy,65vC7eduMeu5MYUXVqIhyg,145100
Renee Foy,4vXLV26Szecr2zx6St7Ppz,124800
Boyce Avenue,7CQwac16i1W5ej8YpuL3dv,2800000
Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,4000000
Jennel Garcia,1Ff1cuzx8IrADaKnclXscN,320700
Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,3400000
Sam Smith,2wY79sveU1sp5g7SokKOiI,54400000
KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,5900000
Eddie Vedder,0mXTJETA4XUa12MmmXxZJh,3100000
Lucius,1WrqUPWlHN5FXCRcQgrkas,887500
Highland Peak,1J8P3Xd19imC48x8qnxxFV,81600
Motohiro Hata,706WzkJEacBrtkHKRpBU2q,2200000
Andrew Belle,3UAk61T8PItbpgEi9u7ofY,1100000
Ron Pope,6CmXhyslohOFRJMtPpRm4O,1100000
Adam Christopher,22QkuOmdRnasuuVgUjhrVw,344700
Aron Wright,4MKVLp1MAwYFqaXhe1g8dA,269100
Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,4800000
Kurt Cobain,6pAuTi6FXi6qFQJ1dzMXQs,521700
Tim Halperin,3nVeK8gQChVtVCCjGreal2,634800
Canyon City,6TdfKQvrdHZdr4DIzjuWOr,301600
Aaron Espe,11nbBcaBk8uXBPQsc3Sq9p,179000
Tyler Ward,5Hc9oDGvStNGmnj44m8sHg,622400
Five For Fighting,7FgMLbnZVrEnir95O0YujA,2200000
Bailey Jehl,3HX0wFvwBn3wbxrtHuEUus,246400
Nusrat Fateh Ali Khan,5HcunTidTUrOaf8V0iJcvl,13300000
Drew Holcomb & The Neighbors,4RwbDag6jWIYJnEGH6Wte9,1600000
Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,1200000
The Civil Wars,6J7rw7NELJUCThPbAfyLIE,811200
Callum J Wright,47KiS7rrEXolpFicX0aTGe,381400
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,15400000
JP Cooper,4kYGAK2zu9EAomwj3hXkXy,7400000
Mone Kamishiraishi,68TWc4rraWK3C522KFdt0b,200200
John Adams,35OhI7DSls022v9Bz9r0VZ,110200
Kitri,2i9CbxfaMspiPMCYZgvgPW,47500
Augustana,61YE3whKiuRr83j1yOm5M7,481300
Matthew Perryman Jones,68524z8sd176IRenNb1Fjy,356700
Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,3700000
Sierra Ferrell,3oVcF3VdpMuvMvLLyHPT4t,3000000
Meg Birch,3LB7FvgVlOipXr9itiGxGY,83600
Catherine Feeny,2PKUc5LXsZNjqOpAZKcFgz,158500
Joshua Hyslop,1I7oHjCjMrMUz66v67yJJu,340400
JJ Heller,7dq8KEwf0kQXJhM79iwcPh,475500
Howie Day,0ekbDNE2eOq8QiaXM34wer,1700000
Ben Rector,4AapPt7H6bGH4i7chTulpI,1200000
Matt Nathanson,4NGiEU3Pkd8ASRyQR30jcA,1100000
Rachael Yamagata,7w0qj2HiAPIeUcoPogvOZ6,230000
Parachute,2PCUhxD40qlMqsKHjTZD2e,608100
Susie Suh,6zDFhpdu4WUVVGTz0JSLMh,171900
Robot Koch,47V6nyjOrUR98qv6gkYssI,433600
Lindsey Stirling,378dH6EszOLFShpRzAQkVM,3000000
Eden Elf,0S9wI9ZGeEwgNmVC61utdR,211900
Ren Avel,0G60ExqaVqj0ap0Sysa8AJ,131500
Rachel Grae,0ekCwZGQUkAISV1h48jlHn,1100000
Cary Brothers,21R50WhyQI5HxWOTr6MyY1,204900
The Mayries,38SWPOPO1YqxUPnT4AAoID,533500
Joseph Sullinger,6mNAxWgMw0EjVXUNhHpRpM,208400
Yonnyboii,13rJ1RvOkiAEQnvbt9SlXR,331200
Tobey Rosen,7xW6v5mmwGhWtoZ0x2AhLN,228000
Aqualung,3uT7nEkZwWc2GBiqUZGoOe,349100
Karis,1lhlB2y3qsT4o94Ti3h5V6,39
Ray Lorraine,4lf5sycK82JMzmkebi1Kic,45600
Agustín Amigó,3hUFjtgMr2bvq6E6tY7yQB,116500
Nylonwings,2FLK3ubX0vLLfbU5ViuJTN,276900
Amy Stroup,3dVt88018sQikXFlIocj3X,122100
Connie Talbot,6v6kEdFKqKZ2T7XjjBD9um,552200
Caleb Santos,3XEHRbR9NMWfNzQ6TQMS9M,1400000
Viva Music Publishing Inc.,1d1BeULLUX4HWNVypEUMfy,1300000
Priscilla Ahn,5oU0tZlItLctcLOQPS3mCy,226300
Jon Bryant,2gzH4rGNFJeNg13yv2uI4L,423300
Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,536200
Angelina Cruz,4RUeoFWpDZ3IxGR7LYPoYN,47800
Stephen Speaks,0AvtzKTYleNqdJXoZasQWG,3300000
The Weepies,6pwHWKweuoCyx3OoFaD0Q5,342100
Deb Talan,7tFFagB7kjwoCTP3QMlzJD,355100
Steve Tannen,6vvDymlJBME7J2SPsyY3td,341600
Freddie King,5dCuFngSPyOOnTAvrC7v2s,650000
Taj Mahal,1aTDTChWWyiJH3SEnYrdVp,803400
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,737500
Gerald Albright,3bhckpkRmz8mqONUceSutp,161300
Thomas Daniel,6szSMqKKwkFqJoK3MxK3Hk,187700
Masayoshi Yamazaki,6gvedX0HcRQYMD5IhY8KKt,542100
Todd Carey,0LCLu0eCcX5xembxDadUbz,61300
Ariza,4hfAjEKTAFTmJvGQCGTED5,203300
Chuck Leavell,3Dj8QpO2yUyElSCfiatKI9,9800
YUZU,38f5pUehPkMW3H5u7cGtE4,13
Jonah Baker,6cpVjPOo5Ozn28hUfYBXqm,827400
Billkin,2a727ekkPaUHk0bMifk7fj,1700000
Anna Nalick,4LoM3lMauQ540MW9QiyIcR,756800
Us The Duo,3QGKsAfhZdldQCLuLjk6zl,606700
